epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9176.69,1.3058,0.59531,1.4073,0.93801,0.85534,0.93696,0.57617,1.36315,0.68424,1.71189,0.008614,0.008614,0.008614
44,9390.04,1.29318,0.58999,1.3938,0.9351,0.87112,0.94323,0.59369,1.33297,0.64235,1.69045,0.008581,0.008581,0.008581
45,9603.46,1.30229,0.59743,1.4011,0.93953,0.87605,0.94512,0.59548,1.3234,0.63887,1.68164,0.008548,0.008548,0.008548
46,9817.09,1.29189,0.59299,1.3977,0.93633,0.8551,0.93791,0.58356,1.35066,0.66158,1.70486,0.008515,0.008515,0.008515
47,10029.9,1.29666,0.58956,1.39773,0.94344,0.87606,0.94644,0.59426,1.32339,0.6312,1.68692,0.008482,0.008482,0.008482
48,10242.8,1.28602,0.58657,1.39609,0.92851,0.85076,0.93908,0.59044,1.32611,0.65317,1.68295,0.008449,0.008449,0.008449
49,10456.1,1.2881,0.58841,1.39027,0.94128,0.86694,0.93973,0.58199,1.35779,0.64649,1.71219,0.008416,0.008416,0.008416
50,10668.4,1.29272,0.58309,1.38892,0.94333,0.87814,0.94416,0.59447,1.33515,0.63026,1.69429,0.008383,0.008383,0.008383
51,10881.2,1.28227,0.58526,1.3899,0.94535,0.87666,0.94864,0.60672,1.30891,0.61118,1.6712,0.00835,0.00835,0.00835
52,11094.8,1.28465,0.57997,1.38801,0.94875,0.87473,0.94658,0.60258,1.31337,0.61683,1.67055,0.008317,0.008317,0.008317
53,11308.2,1.28509,0.58105,1.39457,0.9486,0.88147,0.94863,0.5981,1.33426,0.6172,1.683,0.008284,0.008284,0.008284
54,11521,1.28221,0.58389,1.39069,0.94541,0.88304,0.94758,0.59858,1.32862,0.61697,1.67916,0.008251,0.008251,0.008251
55,11734.6,1.28308,0.57526,1.38542,0.94607,0.89364,0.95255,0.60302,1.31804,0.59931,1.67104,0.008218,0.008218,0.008218
56,11947.6,1.28778,0.57947,1.38407,0.95091,0.88899,0.95306,0.60912,1.30704,0.59201,1.66493,0.008185,0.008185,0.008185
57,12160.8,1.27547,0.5796,1.38146,0.95172,0.89049,0.95453,0.60922,1.31095,0.59329,1.66624,0.008152,0.008152,0.008152
58,12374,1.28244,0.58085,1.38357,0.9494,0.88882,0.95213,0.60595,1.31551,0.59762,1.67003,0.008119,0.008119,0.008119
59,12587,1.28028,0.57657,1.37922,0.94956,0.88268,0.94986,0.60363,1.31589,0.60232,1.67286,0.008086,0.008086,0.008086
60,12799.8,1.26679,0.56761,1.37963,0.95149,0.87884,0.95061,0.6021,1.32784,0.60341,1.6816,0.008053,0.008053,0.008053
61,13013.3,1.28909,0.57717,1.39143,0.95029,0.87991,0.95102,0.60368,1.32348,0.599,1.67661,0.00802,0.00802,0.00802
62,13225.7,1.27382,0.57313,1.38503,0.95239,0.87948,0.95225,0.60505,1.31499,0.59318,1.67127,0.007987,0.007987,0.007987
63,13439.4,1.28095,0.5749,1.38509,0.95657,0.87542,0.95044,0.60391,1.31683,0.59499,1.67323,0.007954,0.007954,0.007954
64,13652.5,1.27177,0.56744,1.37485,0.95327,0.88206,0.95337,0.60727,1.31148,0.58768,1.66733,0.007921,0.007921,0.007921
65,13865.9,1.26133,0.56681,1.37846,0.95312,0.88473,0.95406,0.60807,1.31193,0.58697,1.66731,0.007888,0.007888,0.007888
66,14078.7,1.27405,0.57217,1.38432,0.95229,0.88479,0.9551,0.60971,1.30703,0.58436,1.66392,0.007855,0.007855,0.007855
67,14291.5,1.25576,0.5638,1.37123,0.93975,0.88147,0.95287,0.6062,1.31511,0.59278,1.67098,0.007822,0.007822,0.007822
68,14504.3,1.26054,0.56092,1.37568,0.94266,0.87928,0.95275,0.60567,1.31559,0.59304,1.67211,0.007789,0.007789,0.007789
69,14717.1,1.25098,0.56122,1.36165,0.93925,0.87979,0.95234,0.60723,1.31346,0.59484,1.67155,0.007756,0.007756,0.007756
70,14930.2,1.25526,0.55855,1.36932,0.94031,0.88421,0.95382,0.60875,1.31137,0.58968,1.67097,0.007723,0.007723,0.007723
71,15143.3,1.25784,0.55951,1.37337,0.94021,0.88196,0.9532,0.60824,1.31054,0.58923,1.67083,0.00769,0.00769,0.00769
72,15356.7,1.25139,0.55582,1.36869,0.94485,0.88121,0.95342,0.60866,1.3089,0.58555,1.66904,0.007657,0.007657,0.007657
73,15570.1,1.25973,0.55881,1.37282,0.94665,0.88066,0.95424,0.6102,1.30597,0.58304,1.66562,0.007624,0.007624,0.007624
74,15783.5,1.26076,0.56124,1.37616,0.94864,0.87931,0.95444,0.60899,1.30957,0.58279,1.66817,0.007591,0.007591,0.007591
75,15996.5,1.25856,0.55761,1.37077,0.94675,0.88238,0.95449,0.61099,1.30308,0.57882,1.66307,0.007558,0.007558,0.007558
76,16209.3,1.24974,0.55212,1.36651,0.94586,0.8838,0.95461,0.61297,1.3002,0.57687,1.66086,0.007525,0.007525,0.007525
77,16422.9,1.25028,0.55291,1.36746,0.94596,0.88364,0.95507,0.61481,1.29416,0.57318,1.65669,0.007492,0.007492,0.007492
78,16636.5,1.25692,0.5562,1.36967,0.94447,0.8881,0.95511,0.61583,1.29003,0.57209,1.65426,0.007459,0.007459,0.007459
79,16849.7,1.24359,0.54787,1.36229,0.94636,0.88918,0.95541,0.61599,1.2907,0.57042,1.65443,0.007426,0.007426,0.007426
80,17063,1.24061,0.55167,1.35979,0.94795,0.89063,0.95605,0.61715,1.28839,0.56822,1.65275,0.007393,0.007393,0.007393
81,17276.5,1.23862,0.55319,1.3607,0.94857,0.89304,0.95699,0.61857,1.28524,0.56537,1.65031,0.00736,0.00736,0.00736
82,17489.7,1.25448,0.55314,1.36135,0.94952,0.89424,0.9579,0.61871,1.28536,0.56376,1.65024,0.007327,0.007327,0.007327
83,17703.3,1.23747,0.54657,1.35724,0.9528,0.89171,0.95805,0.61897,1.28574,0.56335,1.65081,0.007294,0.007294,0.007294
84,17919,1.23236,0.54427,1.35347,0.9553,0.89075,0.95769,0.61796,1.28681,0.56323,1.65102,0.007261,0.007261,0.007261
85,18132.3,1.24245,0.54392,1.36198,0.95391,0.89232,0.95748,0.61825,1.28639,0.56295,1.65043,0.007228,0.007228,0.007228
