epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12477.2,1.08915,0.60287,1.06644,0.73088,0.73247,0.75938,0.54294,1.03023,0.50131,1.06763,0.00898525,0.00898525,0.00898525
43,12773.6,1.0879,0.60145,1.06623,0.73083,0.73304,0.76258,0.54619,1.029,0.49876,1.06712,0.0089605,0.0089605,0.0089605
44,13070.6,1.0876,0.59562,1.06586,0.73909,0.73067,0.76382,0.54577,1.02808,0.49751,1.06688,0.00893575,0.00893575,0.00893575
45,13367.8,1.08734,0.59855,1.06823,0.74259,0.73409,0.76692,0.54875,1.02667,0.49605,1.06623,0.008911,0.008911,0.008911
46,13665.1,1.09231,0.59923,1.06772,0.73936,0.73452,0.76867,0.54973,1.02595,0.49529,1.06587,0.00888625,0.00888625,0.00888625
47,13961.1,1.08803,0.59246,1.06936,0.73897,0.73955,0.77003,0.55131,1.0248,0.49333,1.06529,0.0088615,0.0088615,0.0088615
48,14257.6,1.08651,0.5971,1.06598,0.74522,0.73357,0.77282,0.55391,1.02326,0.49224,1.06453,0.00883675,0.00883675,0.00883675
49,14554.9,1.08114,0.58476,1.06212,0.74452,0.73656,0.77423,0.55573,1.02312,0.49113,1.0644,0.008812,0.008812,0.008812
50,14851.7,1.07734,0.58659,1.05901,0.73064,0.74453,0.77398,0.55692,1.02239,0.48973,1.06399,0.00878725,0.00878725,0.00878725
51,15147.9,1.07611,0.58471,1.06452,0.73184,0.74593,0.77521,0.55803,1.02207,0.4891,1.06381,0.0087625,0.0087625,0.0087625
52,15443.7,1.08595,0.58815,1.06671,0.72912,0.7455,0.77556,0.55843,1.02116,0.4883,1.06335,0.00873775,0.00873775,0.00873775
53,15740.3,1.07522,0.58249,1.06143,0.73505,0.74164,0.77661,0.55903,1.02042,0.48756,1.06301,0.008713,0.008713,0.008713
54,16037.2,1.07704,0.57937,1.06326,0.73836,0.74083,0.77774,0.56044,1.01973,0.48681,1.06267,0.00868825,0.00868825,0.00868825
55,16333.3,1.07732,0.58035,1.06155,0.73549,0.74598,0.77865,0.56102,1.01939,0.48638,1.06247,0.0086635,0.0086635,0.0086635
56,16629.5,1.06965,0.57736,1.05633,0.73459,0.74827,0.77911,0.56125,1.01901,0.48587,1.0622,0.00863875,0.00863875,0.00863875
57,16926.5,1.07035,0.57505,1.05869,0.7383,0.7443,0.77893,0.56072,1.01869,0.48567,1.06198,0.008614,0.008614,0.008614
58,17223,1.07548,0.57922,1.06288,0.73745,0.74418,0.77905,0.56085,1.01828,0.48531,1.06181,0.00858925,0.00858925,0.00858925
59,17519.1,1.0757,0.57545,1.05994,0.73829,0.74437,0.77957,0.56162,1.0178,0.48469,1.06151,0.0085645,0.0085645,0.0085645
60,17815.7,1.07006,0.57685,1.058,0.73681,0.7474,0.78079,0.5628,1.0172,0.48394,1.06123,0.00853975,0.00853975,0.00853975
61,18112.4,1.06476,0.57125,1.05527,0.73903,0.74597,0.78241,0.56415,1.01676,0.48328,1.06099,0.008515,0.008515,0.008515
62,18408.9,1.06659,0.57019,1.05728,0.74289,0.74475,0.78284,0.56436,1.01638,0.48279,1.06078,0.00849025,0.00849025,0.00849025
63,18704.8,1.06541,0.56928,1.05596,0.74485,0.74518,0.78376,0.56488,1.0161,0.4823,1.06055,0.0084655,0.0084655,0.0084655
64,19000.6,1.07568,0.58086,1.05905,0.74375,0.7463,0.78435,0.56555,1.01583,0.48177,1.06038,0.00844075,0.00844075,0.00844075
